supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
karrymart,1,1,60.0,100,40.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,06:58:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:58:00,0
karrymart,3,3,245.0,1000,755.0,cash,yes,yes,yes,no,no,no,no,2017-05-23 00:00:00,no,18:46:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,18,B,1,1,1,2017-05-23 18:46:00,0
karrymart,1,1,50.0,50,0.0,cash,no,no,yes,no,no,no,no,2017-05-23 00:00:00,no,19:14:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,19,A,1,1,1,2017-05-23 19:14:00,0
karrymart,1,1,80.0,100,20.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,21:01:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,21,A,1,1,1,2017-05-23 21:01:00,0
karrymart,1,1,40.0,50,10.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,12:22:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,12,A,1,1,1,2017-05-23 12:22:00,0
karrymart,1,1,40.0,40,0.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,06:48:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:48:00,0
karrymart,3,2,125.0,125,0.0,cash,no,yes,yes,no,no,no,no,2017-05-23 00:00:00,no,19:50:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,19,B,1,1,1,2017-05-23 19:50:00,0
karrymart,2,2,180.0,200,20.0,cash,yes,yes,no,no,no,no,no,2017-05-23 00:00:00,no,20:44:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,20,A,1,1,1,2017-05-23 20:44:00,0
karrymart,1,1,85.0,100,15.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,10:08:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,10,A,1,1,1,2017-05-23 10:08:00,0
nakumatt,6,3,3585.0,3585,0.0,mpesa,no,yes,yes,no,no,yes,yes,2017-03-10 00:00:00,no,16:30:00,afternoon,chain,eldoret,mid,friday,weekday,no,10,3,2017.0,16,B,0,6,1,2017-03-10 16:30:00,1
karrymart,1,1,50.0,200,150.0,cash,no,no,yes,no,no,no,no,2017-05-23 00:00:00,no,14:34:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,14,A,1,1,1,2017-05-23 14:34:00,0
karrymart,2,2,475.0,500,25.0,cash,yes,no,yes,no,no,no,no,2017-05-23 00:00:00,no,10:21:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,10,A,1,1,1,2017-05-23 10:21:00,0
karrymart,1,1,70.0,100,30.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,11:11:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,11,A,1,1,1,2017-05-23 11:11:00,0
